seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12654,2024,ENG.1,368,4946,14,3,8,0,5,0,0,0,4,3,9,3,0,8,20,2025-06-18 04:50:57
12654,2024,ENG.1,367,6327,17,3,17,7,5,0,0,0,3,1,5,0,0,20,23,2025-06-18 04:51:02
12654,2024,ENG.1,349,7441,5,0,0,1,0,0,0,0,0,0,0,0,77,20,5,2025-01-30 14:42:57
12654,2024,ENG.1,373,9426,23,9,26,6,4,1,0,2,1,3,6,1,0,5,38,2025-06-18 04:50:58
12654,2024,ENG.1,331,17828,14,3,7,2,1,0,0,0,2,1,5,0,0,9,11,2025-06-18 04:50:56
12654,2024,ENG.1,375,17861,2,1,0,0,0,0,0,0,0,0,0,0,5,4,6,2025-06-18 04:50:59
12654,2024,ENG.1,331,20975,12,10,3,7,0,0,0,0,0,10,19,0,0,0,4,2025-01-23 05:30:56
12654,2024,ENG.1,373,20975,25,11,11,28,3,0,0,3,1,21,50,2,0,1,21,2025-06-18 04:50:58
12654,2024,ENG.1,331,26843,4,1,3,1,1,0,0,0,0,0,2,0,0,2,1,2025-06-18 04:50:56
12654,2024,ENG.1,393,30377,15,4,12,6,2,0,0,1,5,0,5,0,0,5,16,2025-06-18 04:51:01
12654,2024,ENG.1,368,31810,32,13,29,22,7,1,0,3,6,1,5,1,0,4,23,2025-06-18 04:50:57
12654,2024,ENG.1,382,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:51:00
12654,2024,ENG.1,301,41311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,360,42250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:51:00
12654,2024,ENG.1,361,42359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:51:01
12654,2024,ENG.1,380,43575,30,5,17,11,6,0,1,1,4,4,11,2,0,15,35,2025-06-18 04:51:03
12654,2024,ENG.1,398,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:24
12654,2024,ENG.1,361,48128,9,8,1,3,0,0,0,0,1,2,5,0,0,0,3,2025-01-31 14:42:48
12654,2024,ENG.1,349,72487,29,20,11,18,3,0,0,0,0,12,25,2,0,2,12,2025-06-18 04:50:54
12654,2024,ENG.1,371,77403,14,1,2,1,2,0,0,0,1,0,0,0,171,50,21,2025-06-18 04:51:03
12654,2024,ENG.1,380,78836,10,9,2,1,2,0,0,0,0,0,3,0,0,0,9,2025-06-18 04:51:03
12654,2024,ENG.1,360,83176,7,4,5,6,1,0,0,0,0,1,2,0,0,1,2,2025-06-18 04:51:00
12654,2024,ENG.1,393,83526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:51:01
12654,2024,ENG.1,301,85285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,376,85472,14,9,7,8,4,0,0,2,1,0,3,0,0,2,8,2025-06-18 04:51:02
12654,2024,ENG.1,359,88274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:50:54
12654,2024,ENG.1,379,91481,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 02:49:22
12654,2024,ENG.1,398,92884,8,5,3,3,1,0,0,0,0,0,2,0,0,4,6,2024-07-13 02:49:24
12654,2024,ENG.1,368,92885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:50:57
12654,2024,ENG.1,367,93193,7,0,0,0,0,0,0,0,1,0,0,0,87,29,15,2025-06-18 04:51:02
12654,2024,ENG.1,349,93435,29,2,42,31,9,0,0,3,6,12,32,2,0,11,28,2025-06-18 04:50:54
12654,2024,ENG.1,367,96970,18,0,14,12,3,0,0,1,2,7,16,1,0,3,21,2025-06-18 04:51:02
12654,2024,ENG.1,379,100918,21,14,17,6,0,0,0,1,0,8,21,2,0,1,16,2024-07-13 02:49:22
12654,2024,ENG.1,364,102053,9,3,2,3,1,0,0,0,1,2,4,0,0,6,8,2025-06-18 04:50:59
12654,2024,ENG.1,349,102368,31,3,35,53,1,1,0,1,2,30,73,10,0,3,30,2025-06-18 04:50:54
12654,2024,ENG.1,364,104943,33,4,10,8,3,1,1,1,7,3,17,0,0,4,32,2025-06-18 04:50:59
12654,2024,ENG.1,361,106139,27,3,9,21,3,0,0,4,5,2,12,0,0,19,31,2025-06-18 04:51:01
12654,2024,ENG.1,376,107542,5,0,0,1,0,0,0,0,1,0,0,0,74,24,13,2025-06-18 04:51:02
12654,2024,ENG.1,363,108662,32,0,2,4,5,0,0,0,7,0,0,0,288,95,34,2025-06-18 04:50:56
12654,2024,ENG.1,331,111114,2,0,0,1,0,0,0,0,0,0,0,0,17,3,1,2025-06-18 04:50:56
12654,2024,ENG.1,331,115271,30,6,9,23,5,0,0,4,1,21,60,10,0,4,36,2025-06-18 04:50:56
12654,2024,ENG.1,371,121473,18,8,4,2,3,0,0,0,1,0,6,0,0,4,7,2025-06-18 04:51:03
12654,2024,ENG.1,349,122268,25,6,19,12,7,0,0,0,1,0,3,0,0,5,18,2025-06-18 04:50:54
12654,2024,ENG.1,375,123518,31,12,31,59,6,0,0,0,1,8,33,5,0,1,40,2025-06-18 04:50:59
12654,2024,ENG.1,384,123518,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,2024-08-24 04:55:47
12654,2024,ENG.1,360,124091,36,1,30,40,4,2,0,11,12,28,94,8,0,6,46,2025-06-18 04:51:00
12654,2024,ENG.1,361,126703,10,0,0,1,0,0,0,0,1,0,0,0,98,29,12,2025-06-18 04:51:01
12654,2024,ENG.1,384,127865,13,8,2,2,1,0,0,0,2,0,2,0,0,2,10,2025-06-18 04:50:57
12654,2024,ENG.1,382,129358,15,6,6,5,3,0,0,0,0,2,5,0,0,4,21,2025-01-26 05:33:40
12654,2024,ENG.1,371,129737,14,3,9,7,1,0,0,1,2,4,19,1,0,0,17,2025-06-18 04:51:03
12654,2024,ENG.1,382,131424,33,8,15,27,1,0,0,6,5,7,27,1,0,0,28,2025-06-18 04:51:00
12654,2024,ENG.1,368,131639,5,2,0,1,1,0,0,0,1,1,1,0,0,3,4,2025-06-18 04:50:57
12654,2024,ENG.1,301,132432,27,13,12,12,1,0,0,3,2,7,20,1,0,0,23,2024-07-13 02:49:17
12654,2024,ENG.1,398,133588,24,10,7,9,3,0,1,2,5,1,5,0,0,2,37,2024-07-13 02:49:24
12654,2024,ENG.1,380,133938,15,5,6,5,2,0,2,0,1,3,7,0,0,11,23,2025-06-18 04:51:03
12654,2024,ENG.1,393,134190,36,1,25,24,1,0,0,3,6,34,67,20,0,7,37,2025-06-18 04:51:01
12654,2024,ENG.1,379,134205,26,14,9,20,2,0,0,3,2,6,15,1,0,0,27,2024-07-13 02:49:22
12654,2024,ENG.1,301,134909,38,0,0,3,3,0,0,0,5,0,0,0,554,148,81,2024-07-13 02:49:17
12654,2024,ENG.1,382,134947,28,9,16,18,2,0,0,7,5,14,57,4,0,0,18,2025-06-18 04:51:00
12654,2024,ENG.1,384,136571,2,1,4,0,1,0,0,0,0,0,0,0,0,0,2,2025-06-18 04:50:57
12654,2024,ENG.1,337,138159,7,5,5,0,2,0,0,0,0,0,0,0,0,3,4,2025-06-18 04:50:55
12654,2024,ENG.1,349,138398,2,0,0,2,0,0,0,0,1,0,0,0,25,11,2,2024-08-30 04:58:38
12654,2024,ENG.1,359,138398,2,0,0,2,0,0,0,0,1,0,0,0,25,11,2,2025-06-18 04:50:54
12654,2024,ENG.1,301,138507,17,15,6,7,1,0,0,1,0,4,7,2,0,1,7,2024-07-13 02:49:17
